date,Rebound_Per_Game,Assists_Per_Game,Points_Per_Game,Field_Goal_Percentage,Three_Pointer_Percentage,Two_Point_Percentage,Free_Throw_Percentage
1996,1.9,1.3,7.6,0.417,0.375,0.437,0.819
1997,3.1,2.5,15.4,0.428,0.341,0.456,0.794
1998,5.3,3.8,19.9,0.465,0.267,0.494,0.839
1999,6.3,4.9,22.5,0.468,0.319,0.489,0.821
2000,5.9,5,28.5,0.464,0.305,0.489,0.853
2001,5.5,5.5,25.2,0.469,0.25,0.489,0.829
2002,6.9,5.9,30,0.451,0.383,0.465,0.843
2003,5.5,5.1,24,0.438,0.327,0.463,0.852
2004,5.9,6,27.6,0.433,0.339,0.472,0.816
2005,5.3,4.5,35.4,0.45,0.347,0.482,0.85
2006,5.7,5.4,31.6,0.463,0.344,0.497,0.868
2007,6.3,5.4,28.3,0.459,0.361,0.49,0.84
2008,5.2,4.9,26.8,0.467,0.351,0.496,0.856
2009,5.4,5,27,0.456,0.329,0.487,0.811
2010,5.1,4.7,25.3,0.451,0.323,0.487,0.828
2011,5.4,4.6,27.9,0.43,0.303,0.464,0.845
2012,5.6,6,27.3,0.463,0.324,0.51,0.839
2013,4.3,6.3,13.8,0.425,0.188,0.491,0.857
2014,5.7,5.6,22.3,0.373,0.293,0.401,0.813
2015,3.7,2.8,17.6,0.358,0.285,0.41,0.826