Source,Target,Source_Value,Target_Value,Weight
Lakers,Clippers,2,2,1
Lakers,Nuggets,3,1,1
Lakers,Rockets,1,2,1
Lakers,Thunder,3,1,1
Lakers,Bucks,1,1,1
Lakers,Raptors,0,2,1
Lakers,Celtics,1,1,1
Lakers,Pacers,0,2,1
Lakers,Heat,2,0,1
Clippers,Lakers,2,2,1
Clippers,Nuggets,2,1,1
Clippers,Rockets,2,2,1
Clippers,Thunder,3,1,1
Clippers,Bucks,0,2,1
Clippers,Raptors,2,0,1
Clippers,Celtics,1,1,1
Clippers,Pacers,1,0,1
Clippers,Heat,2,0,1
Nuggets,Lakers,1,3,1
Nuggets,Clippers,1,2,1
Nuggets,Rockets,2,2,1
Nuggets,Thunder,2,1,1
Nuggets,Bucks,2,0,1
Nuggets,Raptors,1,1,1
Nuggets,Celtics,1,1,1
Nuggets,Pacers,1,1,1
Nuggets,Heat,1,1,1
Rockets,Lakers,2,1,1
Rockets,Clippers,2,2,1
Rockets,Nuggets,2,2,1
Rockets,Thunder,1,2,1
Rockets,Bucks,0,2,1
Rockets,Raptors,1,0,1
Rockets,Celtics,2,0,1
Rockets,Pacers,1,1,1
Rockets,Heat,1,1,1
Thunder,Lakers,1,3,1
Thunder,Clippers,1,3,1
Thunder,Nuggets,1,2,1
Thunder,Rockets,2,1,1
Thunder,Bucks,0,2,1
Thunder,Raptors,1,1,1
Thunder,Celtics,1,1,1
Thunder,Pacers,0,2,1
Thunder,Heat,1,1,1
Bucks,Lakers,1,1,1
Bucks,Clippers,2,0,1
Bucks,Nuggets,0,2,1
Bucks,Rockets,2,0,1
Bucks,Thunder,2,0,1
Bucks,Raptors,2,1,1
Bucks,Celtics,2,1,1
Bucks,Pacers,3,1,1
Bucks,Heat,1,2,1
Raptors,Lakers,2,0,1
Raptors,Clippers,0,2,1
Raptors,Nuggets,1,1,1
Raptors,Rockets,0,1,1
Raptors,Thunder,1,1,1
Raptors,Bucks,1,2,1
Raptors,Celtics,1,3,1
Raptors,Pacers,3,1,1
Raptors,Heat,1,2,1
Celtics,Lakers,1,1,1
Celtics,Clippers,1,1,1
Celtics,Nuggets,1,1,1
Celtics,Rockets,0,2,1
Celtics,Thunder,1,1,1
Celtics,Bucks,1,2,1
Celtics,Raptors,3,1,1
Celtics,Pacers,1,1,1
Celtics,Heat,2,1,1
Pacers,Lakers,2,0,1
Pacers,Clippers,0,1,1
Pacers,Nuggets,1,1,1
Pacers,Rockets,1,1,1
Pacers,Thunder,2,0,1
Pacers,Bucks,1,3,1
Pacers,Raptors,1,3,1
Pacers,Celtics,1,1,1
Pacers,Heat,1,3,1
Heat,Lakers,0,2,1
Heat,Clippers,0,2,1
Heat,Nuggets,1,1,1
Heat,Rockets,1,1,1
Heat,Thunder,1,1,1
Heat,Bucks,2,1,1
Heat,Raptors,2,1,1
Heat,Celtics,1,2,1
Heat,Pacers,3,1,1